velocity,coherence,physical_influence,restored_index,probability
0.5000,0.7000,4,7,0.142090
0.5000,0.7500,4,7,0.168457
0.5000,0.8000,4,7,0.187500
0.5000,0.8500,6,1,0.243164
0.5000,0.9000,4,7,0.237793
0.5000,0.9500,6,1,0.222656
0.5000,1.0000,4,7,0.260254
0.5500,0.7000,4,7,0.155762
0.5500,0.7500,6,1,0.292480
0.5500,0.8000,6,1,0.272461
0.5500,0.8500,4,7,0.200684
0.5500,0.9000,4,7,0.228516
0.5500,0.9500,4,7,0.239746
0.5500,1.0000,4,7,0.265137
0.6000,0.7000,6,2,0.341797
0.6000,0.7500,4,0,0.001953
0.6000,0.8000,4,0,0.002441
0.6000,0.8500,4,0,0.001953
0.6000,0.9000,6,2,0.423340
0.6000,0.9500,4,0,0.001953
0.6000,1.0000,6,2,0.479004
0.6500,0.7000,4,1,0.287109
0.6500,0.7500,6,3,0.267090
0.6500,0.8000,4,1,0.282227
0.6500,0.8500,6,3,0.246094
0.6500,0.9000,4,1,0.224121
0.6500,0.9500,6,3,0.221191
0.6500,1.0000,4,1,0.198730
0.7000,0.7000,4,2,0.347656
0.7000,0.7500,4,2,0.362793
0.7000,0.8000,6,4,0.276855
0.7000,0.8500,4,2,0.423340
0.7000,0.9000,6,4,0.240234
0.7000,0.9500,6,4,0.215820
0.7000,1.0000,4,2,0.461426
0.7500,0.7000,4,5,0.004395
0.7500,0.7500,4,5,0.001465
0.7500,0.8000,6,7,0.182617
0.7500,0.8500,4,5,0.000977
0.7500,0.9000,4,5,0.001953
0.7500,0.9500,4,5,0.002930
0.7500,1.0000,6,7,0.270508
0.8000,0.7000,4,6,0.282715
0.8000,0.7500,4,6,0.268066
0.8000,0.8000,4,6,0.272949
0.8000,0.8500,4,6,0.265137
0.8000,0.9000,4,6,0.248047
0.8000,0.9500,4,6,0.207520
0.8000,1.0000,6,0,0.001953
0.8500,0.7000,6,4,0.282227
0.8500,0.7500,4,2,0.369629
0.8500,0.8000,6,4,0.271973
0.8500,0.8500,4,2,0.409180
0.8500,0.9000,6,4,0.224121
0.8500,0.9500,4,2,0.462402
0.8500,1.0000,4,2,0.459961
0.9000,0.7000,4,0,0.001465
0.9000,0.7500,4,0,0.000488
0.9000,0.8000,4,0,0.000000
0.9000,0.8500,6,2,0.403809
0.9000,0.9000,4,0,0.000977
0.9000,0.9500,4,0,0.002441
0.9000,1.0000,6,2,0.461914
